Datetime,Open,High,Low,Close,Volume
2026-04-13 09:30:00,4740.0,4740.2,4738.9,4739.1,0
2026-04-13 09:31:00,4739.1,4739.2,4736.0,4736.2,53
2026-04-13 09:32:00,4736.3,4736.5,4735.0,4736.5,53
2026-04-13 09:33:00,4736.4,4737.4,4736.4,4737.4,28
2026-04-13 09:34:00,4737.0,4737.3,4735.9,4737.3,26
2026-04-13 09:35:00,4736.6,4736.9,4736.1,4736.8,14
2026-04-13 09:36:00,4736.6,4736.6,4735.1,4736.3,25
2026-04-13 09:37:00,4735.9,4736.3,4729.2,4733.4,591
2026-04-13 09:38:00,4733.2,4735.0,4733.2,4734.2,50
2026-04-13 09:39:00,4735.0,4736.4,4733.9,4734.2,50
2026-04-13 09:40:00,4734.0,4734.6,4732.0,4734.6,59
2026-04-13 09:41:00,4734.9,4735.0,4734.0,4734.2,18
2026-04-13 09:42:00,4734.8,4735.2,4734.0,4734.0,23
2026-04-13 09:43:00,4734.8,4736.2,4734.8,4736.2,35
2026-04-13 09:44:00,4736.4,4736.6,4735.8,4735.8,10
2026-04-13 09:45:00,4736.5,4736.8,4736.0,4736.5,14
2026-04-13 09:46:00,4736.8,4737.0,4735.9,4737.0,17
2026-04-13 09:47:00,4737.3,4737.3,4735.0,4735.4,39
2026-04-13 09:48:00,4735.1,4735.1,4733.0,4733.8,37
2026-04-13 09:49:00,4733.6,4734.0,4731.9,4734.0,39
2026-04-13 09:50:00,4733.8,4733.9,4732.7,4733.0,7
2026-04-13 09:51:00,4733.0,4733.0,4730.5,4732.6,28
2026-04-13 09:52:00,4732.7,4733.1,4731.9,4732.5,15
2026-04-13 09:53:00,4732.8,4733.1,4732.3,4732.7,19
2026-04-13 09:54:00,4732.4,4734.6,4732.1,4734.6,64
2026-04-13 09:55:00,4734.7,4736.9,4734.7,4735.9,83
2026-04-13 09:56:00,4736.3,4736.3,4734.1,4735.2,34
2026-04-13 09:57:00,4735.2,4735.5,4733.9,4734.8,41
2026-04-13 09:58:00,4734.8,4735.2,4734.5,4734.5,6
2026-04-13 09:59:00,4734.2,4735.2,4734.2,4734.7,10
2026-04-13 10:00:00,4735.1,4735.8,4733.9,4734.6,19
2026-04-13 10:01:00,4735.2,4735.2,4733.4,4733.4,39
2026-04-13 10:02:00,4733.4,4733.4,4730.6,4731.2,114
2026-04-13 10:03:00,4731.0,4734.2,4730.9,4734.2,84
2026-04-13 10:04:00,4734.4,4735.0,4734.3,4735.0,22
2026-04-13 10:05:00,4734.4,4734.6,4733.8,4734.2,7
2026-04-13 10:06:00,4734.0,4734.0,4732.0,4732.7,49
2026-04-13 10:07:00,4732.4,4732.6,4732.4,4732.6,3
2026-04-13 10:08:00,4732.6,4734.0,4731.2,4733.2,78
2026-04-13 10:09:00,4733.1,4734.1,4733.1,4733.8,14
2026-04-13 10:10:00,4734.4,4735.4,4734.2,4735.0,30
2026-04-13 10:11:00,4735.4,4736.3,4735.2,4736.1,8
2026-04-13 10:12:00,4736.0,4739.7,4736.0,4739.7,152
2026-04-13 10:13:00,4739.5,4741.6,4739.0,4740.3,69
2026-04-13 10:14:00,4739.6,4741.4,4739.4,4741.0,15
2026-04-13 10:15:00,4740.3,4740.3,4738.3,4738.3,21
2026-04-13 10:16:00,4739.0,4739.8,4738.8,4739.8,10
2026-04-13 10:17:00,4740.0,4740.2,4739.0,4739.0,14
2026-04-13 10:18:00,4738.6,4738.6,4738.3,4738.4,5
2026-04-13 10:19:00,4738.8,4741.0,4738.8,4740.8,15
2026-04-13 10:20:00,4740.9,4741.1,4740.5,4740.9,10
2026-04-13 10:21:00,4740.8,4741.3,4739.7,4741.3,33
2026-04-13 10:22:00,4741.9,4743.3,4740.5,4742.7,40
2026-04-13 10:23:00,4742.5,4744.0,4741.8,4743.5,46
2026-04-13 10:24:00,4743.6,4745.5,4743.5,4744.6,49
2026-04-13 10:25:00,4744.8,4745.6,4743.1,4744.2,96
2026-04-13 10:26:00,4744.6,4745.3,4744.2,4745.0,24
2026-04-13 10:27:00,4744.3,4747.0,4744.3,4745.0,42
2026-04-13 10:28:00,4744.9,4745.4,4744.4,4744.8,12
2026-04-13 10:29:00,4744.6,4744.9,4744.1,4744.7,9
2026-04-13 10:30:00,4744.9,4745.8,4744.5,4744.5,14
2026-04-13 10:31:00,4743.7,4745.3,4743.6,4745.0,32
2026-04-13 10:32:00,4745.2,4748.0,4745.2,4747.0,120
2026-04-13 10:33:00,4745.9,4745.9,4744.0,4744.7,67
2026-04-13 10:34:00,4744.5,4744.5,4742.8,4743.9,25
2026-04-13 10:35:00,4743.1,4743.4,4741.8,4741.9,25
2026-04-13 10:36:00,4742.1,4742.9,4741.8,4742.4,17
2026-04-13 10:37:00,4742.7,4744.0,4742.3,4743.6,42
2026-04-13 10:38:00,4743.4,4745.0,4743.4,4743.9,14
2026-04-13 10:39:00,4743.8,4743.8,4742.2,4742.9,11
2026-04-13 10:40:00,4742.7,4744.7,4742.5,4744.2,23
2026-04-13 10:41:00,4743.1,4743.8,4742.4,4742.4,58
2026-04-13 10:42:00,4742.6,4742.6,4741.0,4741.5,83
2026-04-13 10:43:00,4741.2,4742.0,4740.1,4740.6,44
2026-04-13 10:44:00,4740.6,4741.1,4740.1,4740.8,46
2026-04-13 10:45:00,4740.9,4742.9,4740.9,4742.7,22
2026-04-13 10:46:00,4742.0,4742.0,4739.4,4740.1,68
2026-04-13 10:47:00,4739.6,4739.7,4739.1,4739.5,6
2026-04-13 10:48:00,4739.9,4741.2,4739.9,4741.2,13
2026-04-13 10:49:00,4741.4,4742.5,4738.7,4738.7,74
2026-04-13 10:50:00,4738.6,4739.3,4738.6,4738.9,11
2026-04-13 10:51:00,4738.9,4739.7,4738.9,4739.7,8
2026-04-13 10:52:00,4739.6,4740.9,4739.0,4740.7,16
2026-04-13 10:53:00,4740.4,4740.5,4739.7,4740.1,13
2026-04-13 10:54:00,4739.5,4739.5,4737.9,4737.9,11
2026-04-13 10:55:00,4738.6,4739.5,4738.6,4739.1,27
2026-04-13 10:56:00,4738.9,4740.0,4738.8,4739.5,14
2026-04-13 10:57:00,4739.3,4740.2,4738.6,4739.0,35
2026-04-13 10:58:00,4739.4,4742.0,4739.4,4741.9,59
2026-04-13 10:59:00,4742.0,4743.3,4742.0,4742.5,39
2026-04-13 11:00:00,4742.7,4743.7,4742.7,4743.1,44
2026-04-13 11:01:00,4743.2,4743.2,4740.8,4741.5,63
2026-04-13 11:02:00,4741.2,4741.3,4739.8,4741.3,42
2026-04-13 11:03:00,4741.7,4742.2,4740.7,4742.2,25
2026-04-13 11:04:00,4742.3,4744.5,4742.1,4744.2,18
2026-04-13 11:05:00,4744.1,4745.0,4743.3,4744.5,62
2026-04-13 11:06:00,4744.0,4744.0,4742.3,4742.6,22
2026-04-13 11:07:00,4743.7,4745.0,4743.1,4743.5,14
2026-04-13 11:08:00,4744.1,4746.8,4743.9,4745.9,31
2026-04-13 11:09:00,4746.0,4746.1,4744.4,4744.4,39
2026-04-13 11:10:00,4744.2,4745.4,4743.1,4743.3,26
2026-04-13 11:11:00,4743.4,4743.9,4742.7,4742.8,29
2026-04-13 11:12:00,4742.8,4743.9,4741.9,4743.4,72
2026-04-13 11:13:00,4743.5,4743.9,4741.9,4743.6,31
