Datetime,Open,High,Low,Close,Volume
2026-05-21 09:15:00,75714.14,75932.29,75714.14,75873.11,0
2026-05-21 09:16:00,75871.34,75877.0,75800.32,75805.42,0
2026-05-21 09:17:00,75804.87,75812.38,75698.78,75702.3,0
2026-05-21 09:18:00,75700.85,75738.52,75659.24,75707.13,0
2026-05-21 09:19:00,75700.45,75710.88,75636.56,75637.39,0
2026-05-21 09:20:00,75632.0,75651.67,75553.12,75582.93,0
2026-05-21 09:21:00,75586.71,75639.51,75586.71,75616.31,0
2026-05-21 09:22:00,75620.44,75657.39,75608.34,75615.61,0
2026-05-21 09:23:00,75613.85,75700.2,75578.58,75691.28,0
2026-05-21 09:24:00,75692.46,75692.46,75623.81,75645.26,0
2026-05-21 09:25:00,75642.81,75651.78,75618.07,75628.12,0
2026-05-21 09:26:00,75637.61,75670.83,75587.21,75589.52,0
2026-05-21 09:27:00,75583.54,75630.05,75583.13,75615.82,0
2026-05-21 09:28:00,75618.93,75618.93,75526.8,75549.95,0
2026-05-21 09:29:00,75551.22,75577.84,75551.22,75561.28,0
2026-05-21 09:30:00,75566.84,75614.78,75566.84,75614.78,0
2026-05-21 09:31:00,75611.68,75611.68,75581.11,75589.36,0
2026-05-21 09:32:00,75591.55,75594.13,75532.46,75532.77,0
2026-05-21 09:33:00,75528.62,75529.97,75504.15,75505.94,0
2026-05-21 09:34:00,75505.24,75505.24,75476.06,75489.19,0
2026-05-21 09:35:00,75489.37,75510.11,75477.02,75490.19,0
2026-05-21 09:36:00,75491.43,75540.68,75486.92,75522.96,0
2026-05-21 09:37:00,75511.19,75571.16,75511.19,75571.16,0
2026-05-21 09:38:00,75566.56,75577.65,75537.84,75562.46,0
2026-05-21 09:39:00,75554.33,75620.84,75537.68,75592.49,0
2026-05-21 09:40:00,75585.67,75613.73,75558.23,75613.73,0
2026-05-21 09:41:00,75613.75,75614.8,75555.77,75558.01,0
2026-05-21 09:42:00,75557.98,75593.6,75549.52,75568.6,0
2026-05-21 09:43:00,75578.35,75631.99,75573.41,75620.44,0
2026-05-21 09:44:00,75627.74,75680.51,75623.35,75666.99,0
2026-05-21 09:45:00,75665.88,75684.6,75633.81,75659.14,0
2026-05-21 09:46:00,75664.51,75673.82,75624.15,75643.37,0
